K,D_TSK,lam_o,lam_m,lam_wd,task0,task1,task2,task3,task4,task5,task6,task7,task8,task9,avg
10,48,0.1000000014901161,0.1000000014901161,0.0010000000474974,87.5868,87.1444,83.7306,89.0525,84.9259,90.3345,88.6886,94.7633,94.8601,96.6897,89.7776
10,48,0.1000000014901161,1.0,0.1000000014901161,87.5868,87.1444,83.7306,89.0525,84.9259,90.3345,88.6886,94.7633,94.8601,96.6897,89.7776
20,32,1.0,0.0099999997764825,1.0,89.378,86.056,85.7622,87.6269,89.4865,89.1009,92.5013,93.2342,95.5245,97.1471,90.5818
20,32,0.0099999997764825,1.0,0.0099999997764825,87.9157,87.3347,84.8224,87.9925,89.0191,90.9054,91.4113,93.7083,95.7131,96.87,90.5692
20,48,1.0,1.0,0.1000000014901161,87.944,88.8455,86.7839,86.7137,86.5668,90.5332,92.3862,93.8051,94.9352,97.2406,90.5754
15,64,0.1000000014901161,0.0010000000474974,1.0,89.8421,86.2063,82.8759,85.41,87.1828,92.2109,92.5147,93.6949,94.4278,97.097,90.1462
15,64,0.1000000014901161,0.1000000014901161,1.0,89.8421,86.2063,82.8759,85.41,87.1828,92.2109,92.5147,93.6949,94.4278,97.097,90.1462
15,32,0.0010000000474974,0.1000000014901161,0.0099999997764825,90.9889,87.7103,87.9657,84.7039,88.1126,90.1192,92.8602,91.9555,95.9201,96.6847,90.7021
15,64,0.0099999997764825,0.0010000000474974,0.1000000014901161,88.7754,86.4333,88.3597,87.0827,87.2763,88.8121,91.5248,92.281,94.8334,97.3808,90.2759
10,48,0.1000000014901161,0.0010000000474974,0.0010000000474974,87.5868,87.1444,83.7306,89.0525,84.9259,90.3345,88.6886,94.7633,94.8601,96.6897,89.7776
20,32,1.0,0.0010000000474974,0.1000000014901161,89.378,86.056,85.7622,87.6269,89.4865,89.1009,92.5013,93.2342,95.5245,97.1471,90.5818
10,48,0.1000000014901161,1.0,0.0010000000474974,87.5868,87.1444,83.7306,89.0525,84.9259,90.3345,88.6886,94.7633,94.8601,96.6897,89.7776
10,32,0.1000000014901161,0.0010000000474974,1.0,87.9173,86.8139,83.9426,81.6056,90.2427,91.2927,90.7068,91.7585,95.5546,97.2873,89.7122
15,64,0.0099999997764825,0.1000000014901161,0.0099999997764825,88.7754,86.4333,88.3597,87.0827,87.2763,88.8121,91.5248,92.281,94.8334,97.3808,90.2759
10,64,0.0010000000474974,0.1000000014901161,0.1000000014901161,88.4766,88.0459,86.1679,86.5151,88.4148,91.6733,90.4898,92.6566,94.8835,97.1671,90.4491
15,48,0.0099999997764825,0.1000000014901161,1.0,89.4331,87.8556,85.6237,88.1093,89.7603,90.7786,91.3094,92.6783,95.1556,97.3174,90.8021
10,32,0.0010000000474974,0.1000000014901161,1.0,89.0124,85.4267,85.5385,85.5268,90.201,89.5099,91.7551,91.5915,95.7432,97.2957,90.1601
20,64,0.0099999997764825,1.0,0.0099999997764825,88.6218,88.3313,81.5839,87.8806,85.8807,91.1942,93.6932,93.8401,95.4644,96.8249,90.3315
20,64,1.0,0.0010000000474974,0.1000000014901161,87.9741,89.3613,86.6753,88.3981,88.6886,89.8438,92.0923,93.5614,95.234,97.2272,90.9056
